Ticket_ID,Date_Logged,Customer_ID,Subject,Message_Body,Topic,Priority,Transaction_ID,Sentiment,topic,priority,sentiment,topic_lv,Nedēļa
T000002,2023-11-20,C0242,Refund for my purchase,"I want to return this product.
It is defective.
Please send return instructions.
Also: want a refund.

<p>Thanks</p><p>Customer</p>",General Inquiry,HIGH,,Positive,General,High,Negative,Vispārēji,2023-11-20
T000001,2023-11-20,C0200,Delivery delay,"My delivery is late.
Tracking shows no updates.
Where is my order?
Also: where is my order.

<br><br>--<br>NordTech Customer

Ref: TX-100470",Logistics,NORMAL,100470.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000007,2023-11-21,C0030,Where is my order?,My delivery is stuck.<br>Tracking shows in transit for days.<br>Please update me.<br><br><br><br>--<br>NordTech Customer,Access/Lock Failure,CRITICAL,,Negative,Logistics,High,Negative,Loģistika,2023-11-20
T000006,2023-11-21,C0018,Where is my order?,"My delivery is stuck.
Tracking shows pending.
This is taking too long.

<br><br>--<br>NordTech Customer

Order number: 100240",Access/Lock Failure,CRITICAL,100240.0,Negative,Logistics,Normal,Negative,Loģistika,2023-11-20
T000009,2023-11-21,C0057,Refund for my purchase,"<p>I want to return this product.
It is not working.
How do I start an RMA?
Also: want a refund.

Sent from my Android device</p>",General Inquiry,HIGH,,Positive,Logistics,High,Negative,Loģistika,2023-11-20
T000005,2023-11-21,C0114,Battery dies in 2 days,"My NordLock Pro dies in 48 hours.
I tried new batteries and it still dies.
I can't rely on this.

<br><br>--<br>NordTech Customer

My order #100223.",General Inquiry,NORMAL,100223.0,Neutral,Battery,High,Negative,Baterija,2023-11-20
T000008,2023-11-21,C0166,Tracking shows no updates,My delivery is stuck.<br>Tracking shows pending.<br>Please update me.<br><br>Sent from my Android device,Access/Lock Failure,CRITICAL,,Negative,Logistics,Normal,Neutral,Loģistika,2023-11-20
T000003,2023-11-21,C0148,Very disappointed,"The product is not working.
Very disappointed.
Please help.
Also: broken.

—
Regards,
A very unhappy customer

Ref: TX-100114",Software/Connectivity,CRITICAL,100114.0,Positive,General,Critical,Negative,Vispārēji,2023-11-20
T000010,2023-11-21,C0013,NordLock Pro battery drains fast,"<p>My NordLock Pro battery drains in a day.
I tried new batteries and it still dies.
Please help ASAP.

<p>Thanks</p><p>Customer</p></p><br><p>ASAP</p>

Ref: TX-100257",Battery Issue,CRITICAL,100257.0,Positive,Battery,High,Negative,Baterija,2023-11-20
T000004,2023-11-21,C0143,App cannot connect to WiFi,"<p>The app will not connect to WiFi.
I tried pairing again but it fails.
It worked once and then stopped.

Sent from my Android device</p>",Software/Connectivity,NORMAL,,Negative,Software,Normal,Negative,Programmatūra,2023-11-20
T000012,2023-11-22,C0244,NordLock Pro pairing issue,"<p>The app cannot connect to the lock.
I tried resetting but it fails.
Please advise.
Also: wifi.

Sent from my Android device</p><br><p>ASAP</p>

Ref: TX-100207",Software/Connectivity,CRITICAL,100207.0,Negative,Software,High,Negative,Programmatūra,2023-11-20
T000011,2023-11-22,C0073,NordLock Pro won't unlock,"<p>I am stuck outside — the lock will not unlock.
The app shows offline.
I need immediate assistance.

Sent from my iPhone</p>

My order #100220.",Access/Lock Failure,CRITICAL,100220.0,Negative,Access Failure,Critical,Negative,Piekļuve,2023-11-20
T000014,2023-11-23,C0013,Where is my order?,"My delivery is delayed.
Tracking shows no updates.
This is taking too long.
Also: courier.

Sent from my Android device",Logistics,NORMAL,,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000014,2023-11-23,C0013,Where is my order?,"My delivery is delayed.
Tracking shows no updates.
This is taking too long.
Also: courier.

Sent from my Android device",Logistics,NORMAL,,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000013,2023-11-23,C0073,Product defective,"<p>The product is not working.
Poor quality.
I want a replacement.
Also: doesn't work.

—
Regards,
A very unhappy customer</p>",Software/Connectivity,NORMAL,,Positive,General,High,Negative,Vispārēji,2023-11-20
T000015,2023-11-23,C0065,Refund for my purchase,"I want to return this product.
It is not working.
I need my money back.
Also: RMA.

<p>Thanks</p><p>Customer</p>

My order #101197.",General Inquiry,HIGH,101197.0,Positive,Quality,High,Negative,Kvalitāte,2023-11-20
T000024,2023-11-24,C0158,Can't connect the app,"The app cannot connect to the lock.
I tried resetting but it fails.
Please advise.

<br><br>--<br>NordTech Customer

Ref: TX-100596",Software/Connectivity,NORMAL,100596.0,Negative,Software,High,Negative,Programmatūra,2023-11-20
T000019,2023-11-24,C0083,Battery problem with my lock,"<p>My smart lock battery drains in a day.
I changed batteries and it still dies.
This is unacceptable.

Sent from my Android device</p><br><p>This is unacceptable.</p>

My order #100568.",Battery Issue,NORMAL,100568.0,Neutral,Battery,Critical,Negative,Baterija,2023-11-20
T000018,2023-11-24,C0082,NordLock Pro battery drains fast,"My smart lock dies in 2 days.<br>I changed batteries and it still dies.<br>This is unacceptable.<br><br>Sent from my iPhone

Order number: 100292",General Inquiry,NORMAL,100292.0,Neutral,Battery,High,Negative,Baterija,2023-11-20
T000017,2023-11-24,C0033,NordLock Pro won't unlock,"I am stuck outside — the lock will not unlock.
The app shows offline.
This is urgent.
Also: can't get in.

—
Regards,
A very unhappy customer

Order number: 101185",Access/Lock Failure,CRITICAL,101185.0,Neutral,Access Failure,Critical,Negative,Piekļuve,2023-11-20
T000025,2023-11-24,C0223,Not working as expected,"The product is broken.<br>Poor quality.<br>I want a replacement.<br>Also: poor quality.<br><br>Sent from my iPhone

Ref: TX-100682",General Inquiry,HIGH,100682.0,Negative,General,High,Negative,Vispārēji,2023-11-20
T000017,2023-11-24,C0033,NordLock Pro won't unlock,"I am stuck outside — the lock will not unlock.
The app shows offline.
This is urgent.
Also: can't get in.

—
Regards,
A very unhappy customer

Order number: 101185",Access/Lock Failure,CRITICAL,101185.0,Neutral,Logistics,Critical,Negative,Loģistika,2023-11-20
T000016,2023-11-24,C0013,Delivery delay,"My delivery is stuck.
Tracking shows pending.
This is taking too long.

—
Regards,
A very unhappy customer

Ref: TX-100257",Access/Lock Failure,CRITICAL,100257.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000023,2023-11-24,C0069,App cannot connect to WiFi,"<p>The app will not connect to the lock.
I tried reinstalling the app but it fails.
Is there a fix?
Also: app won't connect.

—
Regards,
A very unhappy customer</p>

Order number: 100630",Software/Connectivity,NORMAL,100630.0,Neutral,Software,High,Negative,Programmatūra,2023-11-20
T000020,2023-11-24,C0126,Tracking shows no updates,"<p>My delivery is delayed.
Tracking shows no updates.
Please update me.

<p>Thanks</p><p>Customer</p></p>

My order #100239.",Logistics,NORMAL,100239.0,Positive,Logistics,High,Negative,Loģistika,2023-11-20
T000022,2023-11-24,C0160,Where is my order?,"<p>My delivery is stuck.
Tracking shows pending.
Please update me.

<br><br>--<br>NordTech Customer</p>

My order #100305.",Access/Lock Failure,CRITICAL,100305.0,Negative,Logistics,Normal,Neutral,Loģistika,2023-11-20
T000021,2023-11-24,C0238,Tracking shows no updates,"My delivery is delayed.<br>Tracking shows no updates.<br>Please update me.<br>Also: courier.<br><br>Sent from my Android device

My order #100393.",Logistics,NORMAL,100393.0,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-20
T000032,2023-11-25,C0014,Delivery delay,"My delivery is stuck.
Tracking shows pending.
This is taking too long.

<p>Thanks</p><p>Customer</p>",Access/Lock Failure,CRITICAL,,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-20
T000035,2023-11-25,C0157,NordLock Pro battery drains fast,"<p>My NordLock Pro dies in 48 hours.
I tried new batteries and it still dies.
This is unacceptable.
Also: dead battery.

—
Regards,
A very unhappy customer</p><br><p>This is unacceptable.</p>

Order number: 100059",Battery Issue,NORMAL,100059.0,Positive,Battery,Critical,Negative,Baterija,2023-11-20
T000027,2023-11-25,C0187,Very disappointed,"<p>The product is broken.
Poor quality.
I want a replacement.

<br><br>--<br>NordTech Customer</p>

My order #100628.",General Inquiry,HIGH,100628.0,Negative,General,Normal,Negative,Vispārēji,2023-11-20
T000036,2023-11-25,C0203,Refund for my purchase,"I want to get a refund for this product.
It is not as described.
Please send return instructions.

Sent from my Android device",General Inquiry,HIGH,,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-20
T000026,2023-11-25,C0249,Delivery delay,"My delivery is late.
Tracking shows pending.
Please update me.

Sent from my Android device

Order number: 100219",Logistics,NORMAL,100219.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000031,2023-11-25,C0224,Refund for my purchase,I want to return this product.<br>It is defective.<br>I need my money back.<br>Also: want a refund.<br><br>Sent from my Android device,General Inquiry,HIGH,,Neutral,General,Normal,Negative,Vispārēji,2023-11-20
T000033,2023-11-25,C0017,Tracking shows no updates,"<p>My delivery is stuck.
Tracking shows no updates.
This is taking too long.

—
Regards,
A very unhappy customer</p><br><p>Please help!</p>",Access/Lock Failure,CRITICAL,,Neutral,Logistics,High,Negative,Loģistika,2023-11-20
T000030,2023-11-25,C0279,Where is my order?,"My delivery is late.
Tracking shows in transit for days.
Please update me.
Also: tracking.

Sent from my Android device

My order #100965.",Logistics,NORMAL,100965.0,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-20
T000034,2023-11-25,C0020,Product defective,"<p>The product is defective.
Poor quality.
Please help.

—
Regards,
A very unhappy customer</p>

My order #100285.",Software/Connectivity,CRITICAL,100285.0,Positive,General,Normal,Negative,Vispārēji,2023-11-20
T000029,2023-11-25,C0071,App cannot connect to WiFi,"The app will not connect to the lock.
I tried pairing again but it fails.
It worked once and then stopped.
Also: connectivity.

—
Regards,
A very unhappy customer

Order number: 100574",Software/Connectivity,NORMAL,100574.0,Neutral,Software,High,Negative,Programmatūra,2023-11-20
T000028,2023-11-25,C0122,Product defective,The product is broken.<br>Poor quality.<br>I want a replacement.<br><br>Sent from my Android device,General Inquiry,HIGH,,Negative,General,Normal,Negative,Vispārēji,2023-11-20
T000037,2023-11-26,C0240,Where is my order?,"<p>My delivery is late.
Tracking shows pending.
Please update me.
Also: courier.

—
Regards,
A very unhappy customer</p><br><p>This is unacceptable.</p>",Software/Connectivity,NORMAL,,Positive,Logistics,Normal,Negative,Loģistika,2023-11-20
T000040,2023-11-26,C0069,Tracking shows no updates,"My delivery is late.<br>Tracking shows no updates.<br>Please update me.<br><br>—<br>Regards,<br>A very unhappy customer",Software/Connectivity,NORMAL,,Positive,Logistics,High,Negative,Loģistika,2023-11-20
T000038,2023-11-26,C0010,Tracking shows no updates,"<p>My delivery is stuck.
Tracking shows no updates.
Where is my order?

Sent from my Android device</p>

Order number: 100261",Access/Lock Failure,CRITICAL,100261.0,Negative,Logistics,High,Negative,Loģistika,2023-11-20
T000039,2023-11-26,C0042,Delivery delay,"<p>My delivery is late.
Tracking shows no updates.
Where is my order?

—
Regards,
A very unhappy customer</p>

Order number: 100512",Software/Connectivity,NORMAL,100512.0,Positive,Logistics,High,Negative,Loģistika,2023-11-20
T000045,2023-11-27,C0033,Return request,"<p>I want to get a refund for this product.
It is not as described.
How do I start an RMA?
Also: refund.

Sent from my Android device</p><br><p>ASAP</p>",General Inquiry,CRITICAL,,Neutral,General,High,Negative,Vispārēji,2023-11-27
T000043,2023-11-27,C0307,Product defective,"The product is broken.
This should not happen.
I want a replacement.

<br><br>--<br>NordTech Customer",Software/Connectivity,HIGH,,Negative,General,High,Negative,Vispārēji,2023-11-27
T000042,2023-11-27,C0182,Delivery delay,"<p>My delivery is stuck.
Tracking shows pending.
Where is my order?
Also: courier.

<p>Thanks</p><p>Customer</p></p><br><p>This is unacceptable.</p>

My order #100267.",Access/Lock Failure,CRITICAL,100267.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000044,2023-11-27,C0135,Locked out of my home,"I am locked out — the lock will not unlock.<br>The app shows not responding.<br>This is urgent.<br>Also: door won't open.<br><br><p>Thanks</p><p>Customer</p>

Order number: 100213",Access/Lock Failure,CRITICAL,100213.0,Positive,Access Failure,Critical,Negative,Piekļuve,2023-11-27
T000041,2023-11-27,C0010,Very disappointed,"The product is not working.
Very disappointed.
Please help.

Sent from my Android device

Order number: 100261",Software/Connectivity,CRITICAL,100261.0,Positive,General,Normal,Negative,Vispārēji,2023-11-27
T000046,2023-11-28,C0118,Return request,"<p>I want to return this product.
It is not as described.
Please send return instructions.
Also: money back.

<br><br>--<br>NordTech Customer</p>

Order number: 100914",General Inquiry,HIGH,100914.0,Neutral,Logistics,Normal,Negative,Loģistika,2023-11-27
T000056,2023-11-28,C0022,NordLock Pro battery drains fast,My smart lock dies in 48 hours.<br>I tried new batteries and it still dies.<br>Please help ASAP.<br>Also: battery drains.<br><br><p>Thanks</p><p>Customer</p>,Battery Issue,CRITICAL,,Positive,Battery,High,Negative,Baterija,2023-11-27
T000049,2023-11-28,C0097,Tracking shows no updates,"<p>My delivery is delayed.
Tracking shows in transit for days.
Please update me.

<br><br>--<br>NordTech Customer</p>

My order #100743.",Logistics,NORMAL,100743.0,Neutral,Logistics,High,Negative,Loģistika,2023-11-27
T000054,2023-11-28,C0307,Product defective,"The product is broken.<br>Poor quality.<br>I want a replacement.<br><br>Sent from my iPhone

Ref: TX-101115",General Inquiry,HIGH,101115.0,Negative,Product,High,Negative,Product,2023-11-27
T000053,2023-11-28,C0242,Product defective,"<p>The product is not working.
Very disappointed.
Please help.

Sent from my Android device</p>",Software/Connectivity,CRITICAL,,Positive,General,Normal,Negative,Vispārēji,2023-11-27
T000050,2023-11-28,C0169,Where is my order?,"<p>My delivery is stuck.
Tracking shows pending.
This is taking too long.
Also: tracking.

<br><br>--<br>NordTech Customer</p><br><p>ASAP</p>

Ref: TX-100395",Access/Lock Failure,CRITICAL,100395.0,Negative,Logistics,High,Negative,Loģistika,2023-11-27
